base,symbol
SPCX,SPCXUSDT
SNDK,SNDKUSDT
MSTR,MSTRUSDT
AAPL,AAPLUSDT
SKHY,SKHYUSDT
SKHYNIX,SKHYNIXUSDT
CRCL,CRCLUSDT
MU,MUUSDT
TSLA,TSLAUSDT
NVDA,NVDAUSDT
META,METAUSDT
INTC,INTCUSDT
SAMSUNG,SAMSUNGUSDT
MSFT,MSFTUSDT
NBIS,NBISUSDT
HOOD,HOODUSDT
GOOGL,GOOGLUSDT
UNITREE,UNITREEUSDT
DELL,DELLUSDT
COIN,COINUSDT
MRVL,MRVLUSDT
AVGO,AVGOUSDT
BE,BEUSDT
LITE,LITEUSDT
ORCL,ORCLUSDT
AMDSTOCK,AMDSTOCKUSDT
BMNR,BMNRUSDT
CBRS,CBRSUSDT
RDW,RDWUSDT
CRWV,CRWVUSDT
AMZN,AMZNUSDT
IBM,IBMUSDT
FLNC,FLNCUSDT
TEM,TEMUSDT
AAOI,AAOIUSDT
CRWD,CRWDUSDT
AXTI,AXTIUSDT
APPSTOCK,APPSTOCKUSDT
TSEM,TSEMUSDT
BBX,BBXUSDT
ARM,ARMUSDT
PLTR,PLTRUSDT
RKLB,RKLBUSDT
WENSTOCK,WENSTOCKUSDT
MRNA,MRNAUSDT
TSM,TSMUSDT
WDC,WDCUSDT
CXMT,CXMTUSDT
SOFI,SOFIUSDT
FLY,FLYUSDT
PANW,PANWUSDT
MINIMAX,MINIMAXUSDT
ONDS,ONDSUSDT
SNOW,SNOWUSDT
ZHIPU,ZHIPUUSDT
INTU,INTUUSDT
STXX,STXXUSDT
POET,POETUSDT
CRDO,CRDOUSDT
SHAZ,SHAZUSDT
BNC,BNCUSDT
GPRO,GPROUSDT
CIEN,CIENUSDT
PURR,PURRUSDT
SHEIN,SHEINUSDT
ADI,ADIUSDT
COHR,COHRUSDT
IONQ,IONQUSDT
BABA,BABAUSDT
FWDI,FWDIUSDT
SONY,SONYUSDT
IREN,IRENUSDT
BOT,BOTUSDT
ANET,ANETUSDT
LAOPU,LAOPUUSDT
GLW,GLWUSDT
QCOM,QCOMUSDT
BSP,BSPUSDT
QNTX,QNTXUSDT
LRCX,LRCXUSDT
FUTU,FUTUUSDT
MNST,MNSTUSDT
USAR,USARUSDT
CIFR,CIFRUSDT
GEV,GEVUSDT
GE,GEUSDT
BAC,BACUSDT
AMAT,AMATUSDT
NOW,NOWUSDT
BTDR,BTDRUSDT
AEHR,AEHRUSDT
VRT,VRTUSDT
SMCI,SMCIUSDT
ALAB,ALABUSDT
ISRG,ISRGUSDT
SAMSUNGEM,SAMSUNGEMUSDT
MCD,MCDUSDT
APLD,APLDUSDT
JD,JDUSDT
ASTS,ASTSUSDT
AMC,AMCUSDT
DDOG,DDOGUSDT
NAVER,NAVERUSDT
NOKIA,NOKIAUSDT
XOM,XOMUSDT
PENGSTOCK,PENGSTOCKUSDT
NFLX,NFLXUSDT
TER,TERUSDT
TXN,TXNUSDT
COST,COSTUSDT
FORMSTOCK,FORMSTOCKUSDT
ON,ONUSDT
MARA,MARAUSDT
TEAM,TEAMUSDT
BX,BXUSDT
HORIZON,HORIZONUSDT
SENSETIME,SENSETIMEUSDT
GS,GSUSDT
HPE,HPEUSDT
CATSTOCK,CATSTOCKUSDT
ASML,ASMLUSDT
SMIC,SMICUSDT
JPM,JPMUSDT
ADBE,ADBEUSDT
KLAC,KLACUSDT
GMESTOCK,GMESTOCKUSDT
CRM,CRMUSDT
VST,VSTUSDT
TTWO,TTWOUSDT
LLY,LLYUSDT
RDDT,RDDTUSDT
HIMS,HIMSUSDT
FLEX,FLEXUSDT
RIVN,RIVNUSDT
OKTA,OKTAUSDT
NET,NETUSDT
NVO,NVOUSDT
PYPL,PYPLUSDT
ZM,ZMUSDT
DKNG,DKNGUSDT
OUST,OUSTUSDT
CLSK,CLSKUSDT
LGELECTRONICS,LGELECTRONICSUSDT
UBER,UBERUSDT
GIGADEVICE,GIGADEVICEUSDT
LENOVO,LENOVOUSDT
MEITU,MEITUUSDT
INFQ,INFQUSDT
HANMI,HANMIUSDT
CVXSTOCK,CVXSTOCKUSDT
MRK,MRKUSDT
HYUNDAI,HYUNDAIUSDT
ZHONGJI,ZHONGJIUSDT
MDB,MDBUSDT
AAL,AALUSDT
KO,KOUSDT
XIAOMI,XIAOMIUSDT
VRTXSTOCK,VRTXSTOCKUSDT
JNJ,JNJUSDT
KUAISHOU,KUAISHOUUSDT
PEP,PEPUSDT
SPOT,SPOTUSDT
SHOP,SHOPUSDT
CSCO,CSCOUSDT
HUAHONG,HUAHONGUSDT
DJT,DJTUSDT
BIIB,BIIBUSDT
WMT,WMTUSDT
RIOT,RIOTUSDT
BYD,BYDUSDT
PDD,PDDUSDT
CGNX,CGNXUSDT
TENCENT,TENCENTUSDT
V,VUSDT
EBAY,EBAYUSDT
GILD,GILDUSDT
HD,HDUSDT
MO,MOUSDT
MEITUAN,MEITUANUSDT
UNH,UNHUSDT
MA,MAUSDT
REGN,REGNUSDT
BRKB,BRKBUSDT
YOFC,YOFCUSDT
AMGN,AMGNUSDT
POPMART,POPMARTUSDT
